,Image,Accuracy,F1,Jaccard,Recall,Precision
87,1556,0.9971923828125,0.7889908256880734,0.6515151515151515,0.9885057471264368,0.6564885496183206
88,1559,0.99884033203125,0.8983957219251336,0.8155339805825242,1.0,0.8155339805825242
89,1560,0.999267578125,0.9482758620689654,0.9016393442622951,0.990990990990991,0.9090909090909091
90,1572,0.99420166015625,0.42424242424242425,0.2692307692307692,1.0,0.2692307692307692
91,1573,0.99957275390625,0.9176470588235294,0.8478260869565217,0.8666666666666667,0.975
92,1577,0.9970703125,0.8775510204081634,0.7818181818181819,1.0,0.7818181818181819
93,1581,0.99859619140625,0.8795811518324608,0.7850467289719626,0.8235294117647058,0.9438202247191011
94,1585,0.98394775390625,0.35061728395061725,0.2125748502994012,0.21846153846153846,0.8875
95,1587,0.98828125,0.7176470588235294,0.5596330275229358,0.5700934579439252,0.9682539682539683
96,1588,0.982421875,0.6190476190476191,0.4482758620689655,0.4482758620689655,1.0
97,1597,0.9990234375,0.9101123595505618,0.8350515463917526,0.8901098901098901,0.9310344827586207
98,160,0.9989013671875,0.9451219512195121,0.8959537572254336,0.9810126582278481,0.9117647058823529
99,1600,0.998046875,0.8608695652173913,0.7557251908396947,0.9705882352941176,0.7734375
100,1601,0.99835205078125,0.9072164948453608,0.8301886792452831,0.9850746268656716,0.8407643312101911
101,1609,0.99755859375,0.8373983739837398,0.7202797202797203,0.9279279279279279,0.762962962962963
102,1624,0.9951171875,0.9182004089979551,0.8487712665406427,0.9107505070993914,0.9257731958762887
103,1625,0.995361328125,0.9293680297397768,0.8680555555555556,0.9560229445506692,0.9041591320072333
104,163,0.99749755859375,0.0,0.0,0.0,1.0
105,1639,0.99835205078125,0.9367681498829039,0.8810572687224669,0.975609756097561,0.9009009009009009
106,1644,0.9990234375,0.9333333333333333,0.875,0.9411764705882353,0.9256198347107438
107,1665,0.998779296875,0.7777777777777778,0.6363636363636364,0.6730769230769231,0.9210526315789473
108,1676,0.9996337890625,0.9423076923076923,0.8909090909090909,0.9607843137254902,0.9245283018867925
109,1680,0.9990234375,0.9593908629441624,0.9219512195121952,0.9895287958115183,0.9310344827586207
110,1685,0.99188232421875,0.7024608501118568,0.5413793103448276,0.8626373626373627,0.5924528301886792
111,1696,0.9981689453125,0.8986486486486487,0.8159509202453987,0.910958904109589,0.8866666666666667
112,1698,0.99627685546875,0.6514285714285714,0.4830508474576271,1.0,0.4830508474576271
113,1704,0.99853515625,0.8947368421052632,0.8095238095238095,1.0,0.8095238095238095
114,1705,0.99908447265625,0.9473684210526316,0.9,0.9642857142857143,0.9310344827586207
115,1706,0.99920654296875,0.9559322033898304,0.9155844155844156,1.0,0.9155844155844156
116,1709,0.99462890625,0.7142857142857143,0.5555555555555556,0.6790123456790124,0.7534246575342466
117,1712,0.9957275390625,0.8241206030150754,0.7008547008547008,0.7354260089686099,0.9371428571428572
118,1714,0.9986572265625,0.807017543859649,0.6764705882352942,0.6865671641791045,0.9787234042553191
119,1715,0.9990234375,0.9215686274509804,0.8545454545454545,0.9306930693069307,0.912621359223301
120,1719,0.99658203125,0.791044776119403,0.654320987654321,0.75177304964539,0.8346456692913385
121,1723,0.99896240234375,0.8874172185430463,0.7976190476190477,1.0,0.7976190476190477
122,1724,0.9989013671875,0.8749999999999999,0.7777777777777778,0.984375,0.7875
123,1725,0.99530029296875,0.7830985915492957,0.6435185185185185,0.6435185185185185,1.0
124,1733,0.9984130859375,0.9304812834224598,0.87,0.9720670391061452,0.8923076923076924
125,1734,0.99627685546875,0.8676789587852495,0.7662835249042146,0.9900990099009901,0.7722007722007722
126,174,0.997802734375,0.9442724458204336,0.8944281524926686,0.9591194968553459,0.9298780487804879
127,1740,0.99810791015625,0.8784313725490197,0.7832167832167832,0.9572649572649573,0.8115942028985508
128,1753,0.99969482421875,0.9411764705882352,0.8888888888888888,0.9523809523809523,0.9302325581395349
129,1754,0.99969482421875,0.9206349206349206,0.8529411764705882,1.0,0.8529411764705882
130,1767,0.998046875,0.9144385026737969,0.8423645320197044,0.9447513812154696,0.8860103626943006
131,1782,0.99700927734375,0.8280701754385966,0.7065868263473054,0.9516129032258065,0.7329192546583851
132,1785,0.99774169921875,0.7672955974842767,0.6224489795918368,1.0,0.6224489795918368
133,1787,0.99884033203125,0.7532467532467533,0.6041666666666666,0.9666666666666667,0.6170212765957447
134,1795,0.99871826171875,0.9106382978723404,0.8359375,0.9067796610169492,0.9145299145299145
135,1796,0.99853515625,0.9154929577464789,0.8441558441558441,1.0,0.8441558441558441
136,1798,0.99847412109375,0.8979591836734693,0.8148148148148148,1.0,0.8148148148148148
137,1815,0.9984130859375,0.8879310344827587,0.7984496124031008,0.9716981132075472,0.8174603174603174
138,1817,0.99725341796875,0.8163265306122449,0.6896551724137931,0.9900990099009901,0.6944444444444444
139,182,0.9986572265625,0.9632107023411371,0.9290322580645162,0.96,0.9664429530201343
140,1822,0.9984130859375,0.9182389937106918,0.8488372093023255,0.9733333333333334,0.8690476190476191
141,1828,0.99566650390625,0.8960468521229868,0.8116710875331565,0.9870967741935484,0.8203753351206434
142,1837,0.99896240234375,0.9612756264236901,0.9254385964912281,0.9952830188679245,0.9295154185022027
143,184,0.99798583984375,0.8506787330316742,0.7401574803149606,0.8703703703703703,0.831858407079646
144,1842,0.98486328125,0.0,0.0,0.0,1.0
145,1871,0.9971923828125,0.9483146067415731,0.9017094017094017,0.9017094017094017,1.0
146,1872,0.99755859375,0.9640287769784173,0.9305555555555556,0.9469964664310954,0.9816849816849816
147,1873,0.995849609375,0.945773524720893,0.897125567322239,0.9067278287461774,0.9883333333333333
148,1892,0.974609375,0.0,0.0,0.0,1.0
149,1895,0.996337890625,0.9135446685878962,0.8408488063660478,0.9968553459119497,0.8430851063829787
150,190,0.99755859375,0.943502824858757,0.893048128342246,0.9910979228486647,0.9002695417789758
151,1903,0.99444580078125,0.9196822594880847,0.8513071895424836,0.9630314232902033,0.8800675675675675
152,1907,0.99664306640625,0.9131121642969985,0.8401162790697675,0.8601190476190477,0.9730639730639731
153,1930,0.95977783203125,0.3507389162561576,0.2126642771804062,0.21317365269461078,0.9888888888888889
154,1931,0.99676513671875,0.8472622478386167,0.735,0.8166666666666667,0.8802395209580839
155,1945,0.9720458984375,0.0,0.0,0.0,1.0
156,1947,0.98016357421875,0.0,0.0,0.0,0.0
157,1964,0.99578857421875,0.846325167037862,0.7335907335907336,0.7335907335907336,1.0
158,1970,0.9688720703125,0.0,0.0,0.0,1.0
159,1975,0.99334716796875,0.0,0.0,0.0,1.0
160,1977,0.9866943359375,0.0,0.0,0.0,1.0
161,199,0.99835205078125,0.9090909090909091,0.8333333333333334,1.0,0.8333333333333334
162,2004,0.98583984375,0.0,0.0,0.0,1.0
163,2012,0.98468017578125,0.0,0.0,0.0,1.0
164,2013,0.9901123046875,0.36718750000000006,0.22488038277511962,0.24867724867724866,0.7014925373134329
165,2018,0.992919921875,0.0,0.0,0.0,0.0
166,2024,0.989501953125,0.0,0.0,0.0,0.0
167,2033,0.99652099609375,0.8901734104046243,0.8020833333333334,0.8816793893129771,0.8988326848249028
168,2036,0.99822998046875,0.9536,0.9113149847094801,0.9770491803278688,0.93125
169,2049,0.995361328125,0.8782051282051282,0.7828571428571428,0.898360655737705,0.8589341692789969
170,2056,0.969482421875,0.27325581395348836,0.15824915824915825,0.15824915824915825,1.0
171,2058,0.99871826171875,0.0,0.0,0.0,1.0
172,209,0.93817138671875,0.009775171065493646,0.004911591355599214,0.004911591355599214,1.0
173,2090,0.97589111328125,0.7300068352699931,0.5748116254036598,0.6238317757009346,0.8797364085667215
174,2100,0.999755859375,0.9487179487179488,0.9024390243902439,0.9024390243902439,1.0
175,2101,0.99383544921875,0.5627705627705628,0.39156626506024095,0.6372549019607843,0.5038759689922481
176,2109,0.99554443359375,0.0,0.0,0.0,1.0
177,2123,0.9737548828125,0.2375886524822695,0.13480885311871227,0.14660831509846828,0.6261682242990654
178,2124,0.99267578125,0.8895027624309393,0.8009950248756219,0.8961038961038961,0.8829981718464351
179,213,0.995361328125,0.9321428571428572,0.8729096989966555,0.9525547445255474,0.9125874125874126
180,2130,0.99407958984375,0.9205569205569205,0.8528072837632777,0.9894366197183099,0.8606431852986217
181,2132,0.97296142578125,0.7616998386229156,0.6151172893136403,0.6254416961130742,0.9738651994497937
182,2140,0.98980712890625,0.7125645438898451,0.553475935828877,0.6428571428571429,0.7992277992277992
183,2144,0.99432373046875,0.0,0.0,0.0,1.0
184,2151,0.996337890625,0.0,0.0,0.0,1.0
185,2155,0.95086669921875,0.0,0.0,0.0,0.0
186,2157,0.98699951171875,0.0,0.0,0.0,1.0
187,216,0.989990234375,0.6419213973799126,0.47266881028938906,0.513986013986014,0.8546511627906976
188,2163,0.99237060546875,0.9294980259447265,0.8682824025289779,0.9300225733634312,0.9289740698985344
189,2183,0.9649658203125,0.5110732538330494,0.34324942791762014,0.34324942791762014,1.0
190,2184,0.9742431640625,0.36253776435045315,0.22140221402214022,0.22140221402214022,1.0
